filename	read_id	run_id	channel	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	num_called_template	sequence_length_template	mean_qscore_template	strand_score_template	barcode_arrangement	barcode_score	barcode_full_arrangement	front_score	rear_score	front_begin_index	front_foundseq_length	rear_end_index	rear_foundseq_length	kit	variant
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_sequencing_run_Test_AmpSeq_65999_read_100_ch_1840_strand.fast5	c9db869d-59f4-460f-b286-ad1df2e4fb01	fa595ecb16155a30b1ea23ccd337bf143a0a7a87	1840	322.21575	12.7815	7107	True	0.34275	7107	12.43875	7107	4971	11.492	-0.0002	unclassified	32.20000076293945	BC22_var1	16.542373657226562	32.20000076293945	2	35	12	40	BC	var1
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_sequencing_run_Test_AmpSeq_65999_read_100_ch_296_strand.fast5	45c9db2a-4786-4035-879a-fd67b86f1146	fa595ecb16155a30b1ea23ccd337bf143a0a7a87	296	214.39525	10.0885	5731	True	0.05775	5731	10.03075	5731	4164	11.714	-0.0002	unclassified	33.900001525878906	BC03_var1	18.610170364379883	33.900001525878906	87	42	65	54	BC	var1
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_sequencing_run_Test_AmpSeq_65999_read_100_ch_344_strand.fast5	fe15e1be-1598-4652-a0ee-54c9ab7c293e	fa595ecb16155a30b1ea23ccd337bf143a0a7a87	344	133.39725	3.61025	2063	False	0.0	2063	3.61025	2063	415	6.821	-0.0012	unclassified	48.66666793823242	NB12_var2	18.399999618530273	48.66666793823242	78	36	15	25	NB	var2
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_sequencing_run_Test_AmpSeq_65999_read_100_ch_364_strand.fast5	8b0d9a6d-8c5f-4278-8768-b98ecfdfbd0f	fa595ecb16155a30b1ea23ccd337bf143a0a7a87	364	295.7895	5.2295	2546	False	0.7725	2546	4.457	2546	8	3.591	-0.0007	unclassified	-11.692307472229004	NB02_var1	-11.692307472229004	-15.466666221618652	0	8	0	8	NB	var1
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_sequencing_run_Test_AmpSeq_65999_read_100_ch_426_strand.fast5	7999cc68-80a7-4f82-bfe8-f026d822a2fc	fa595ecb16155a30b1ea23ccd337bf143a0a7a87	426	310.71875	1.3915	0	False	0.0	0	0.0	0	0	0.0	0.0	unclassified	0.0	n/a	-inf	-inf	-1	0	-1	0	n/a	n/a
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_sequencing_run_Test_AmpSeq_65999_read_100_ch_392_strand.fast5	de2492f0-e039-49ef-9251-130b7c0b3285	fa595ecb16155a30b1ea23ccd337bf143a0a7a87	392	310.88575	6.02475	3416	True	0.04575	3416	5.979	3416	2457	12.114	-0.0007	barcode12	80.61538696289062	NB12_var1	80.61538696289062	63.42222213745117	31	36	7	34	NB	var1
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_sequencing_run_Test_AmpSeq_65999_read_100_ch_347_strand.fast5	c8a05a53-5f2a-4fcf-aac7-c1379a1005f4	fa595ecb16155a30b1ea23ccd337bf143a0a7a87	347	88.81925	11.1535	6361	True	0.02125	6361	11.13225	6361	3759	7.157	-0.0004	unclassified	30.66666603088379	NB11_var2	30.66666603088379	25.487178802490234	27	38	55	27	NB	var2
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_sequencing_run_Test_AmpSeq_65999_read_100_ch_573_strand.fast5	66ff87d3-a89b-485d-8d07-1872686fc9b4	fa595ecb16155a30b1ea23ccd337bf143a0a7a87	573	173.3695	2.22275	911	True	0.6275	911	1.59525	911	716	7.877	-0.0018	unclassified	36.97435760498047	NB08_var1	36.97435760498047	32.17777633666992	16	26	1	41	NB	var1
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_sequencing_run_Test_AmpSeq_65999_read_100_ch_589_strand.fast5	dc55bee4-031f-465c-998e-cbc3a6d0a79e	fa595ecb16155a30b1ea23ccd337bf143a0a7a87	589	371.9595	26.422	755	False	25.09925	755	1.32275	755	5	3.395	-0.0034	unclassified	-22.35897445678711	NB01_var1	-22.35897445678711	-24.711111068725586	0	5	0	5	NB	var1
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_sequencing_run_Test_AmpSeq_65999_read_100_ch_674_strand.fast5	b6cd5135-05be-4f6f-83af-8cf6c19d7f64	fa595ecb16155a30b1ea23ccd337bf143a0a7a87	674	383.965	1.243	617	True	0.162	617	1.081	617	420	11.116	-0.0022	barcode11	87.23076629638672	NB11_var2	56.488887786865234	87.23076629638672	24	42	15	38	NB	var2
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_sequencing_run_Test_AmpSeq_65999_read_100_ch_692_strand.fast5	b968eb5a-8f9c-46ca-b95d-5fa0ea7b3a95	fa595ecb16155a30b1ea23ccd337bf143a0a7a87	692	289.9965	1.171	653	True	0.027	653	1.144	653	420	10.873	-0.0031	barcode09	64.35897064208984	NB09_var1	64.35897064208984	24.711111068725586	31	38	32	36	NB	var1
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_sequencing_run_Test_AmpSeq_65999_read_100_ch_2314_strand.fast5	78d884af-da59-43eb-8836-5eedde66b25c	fa595ecb16155a30b1ea23ccd337bf143a0a7a87	2314	67.679	39.88	22745	True	0.07625	22745	39.80375	22745	18206	7.794	-0.0001	unclassified	38.61016845703125	BC37_var1	38.61016845703125	15.100000381469727	72	42	59	41	BC	var1
