filename	read_id	run_id	channel	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	num_called_template	sequence_length_template	mean_qscore_template	strand_score_template	calibration_strand_genome_template	calibration_strand_identity_template	calibration_strand_accuracy_template	aligned_speed_bps_template
227	227	A	271	11.93194	12.8164	2573	TRUE	0	2573	12.8164	2573	808	9.633	-0.0012	filtered_out	-1	-1	0
228	228	A	374	5.63745	3.21082	0	FALSE	0	0	0	0	0	0	0	no_match	-1	-1	0
229	229	A	318	27.92762	5.38513	1081	FALSE	0	1081	5.38513	1081	239	6.522	-0.001	filtered_out	-1	-1	0
230	230	A	301	11.25199	18.2915	3672	TRUE	0	3672	18.2915	3672	1417	9.471	-0.0014	YHR174W	0.963434041	0.905829608	78.44907379
231	231	A	313	5.39907	9.46912	1901	FALSE	0	1901	9.46912	1901	684	6.623	-0.0012	filtered_out	-1	-1	0
232	232	A	50	8.99004	3.87583	778	FALSE	0	778	3.87583	778	180	6.599	-0.002	filtered_out	-1	-1	0
233	233	A	240	16.32304	3.8071	0	FALSE	0	0	0	0	0	0	0	no_match	-1	-1	0
234	234	A	231	20.77789	4.64708	824	FALSE	0.54349	824	4.10359	824	122	5.302	-0.0018	filtered_out	-1	-1	0
235	235	A	319	12.50365	6.08001	1220	FALSE	0	1220	6.08001	1220	202	5.828	-0.003	filtered_out	-1	-1	0
236	236	A	217	5.34329	4.40704	680	FALSE	1.01959	680	3.38745	680	59	5.108	-0.0014	filtered_out	-1	-1	0
237	237	A	10	12.2344	3.38911	0	FALSE	0	0	0	0	0	0	0	no_match	-1	-1	0
238	238	A	369	5.39675	10.89641	2188	TRUE	0	2188	10.89641	2188	694	9.761	-0.0014	filtered_out	-1	-1	0
239	239	A	101	5.51361	8.01461	0	FALSE	0	0	0	0	0	0	0	no_match	-1	-1	0
240	240	A	149	12.47377	8.72709	1752	FALSE	0	1752	8.72709	1752	302	6.892	-0.0016	filtered_out	-1	-1	0
241	241	A	79	5.7251	3.12118	0	FALSE	0	0	0	0	0	0	0	no_match	-1	-1	0
242	242	A	208	7.46282	4.32603	868	FALSE	0	868	4.32603	868	225	6.786	-0.0014	filtered_out	-1	-1	0
243	243	A	182	13.25498	3.61554	0	FALSE	0	0	0	0	0	0	0	no_match	-1	-1	0
244	244	A	209	110.501	3.06042	0	FALSE	0	0	0	0	0	0	0	no_match	-1	-1	0
245	245	A	184	92.11122	8.23141	1652	TRUE	0	1652	8.23141	1652	442	7.035	-0.0017	filtered_out	-1	-1	0
246	246	A	314	14.31275	6.12815	1230	TRUE	0	1230	6.12815	1230	250	7.044	-0.0029	filtered_out	-1	-1	0
247	247	A	177	12.02789	4.05279	0	FALSE	0	0	0	0	0	0	0	no_match	-1	-1	0
248	248	A	494	151.4243	3.37915	0	FALSE	0	0	0	0	0	0	0	no_match	-1	-1	0
249	249	A	398	149.0166	4.30345	864	FALSE	0	864	4.30345	864	163	5.129	-0.0019	filtered_out	-1	-1	0
250	250	A	74	8.83931	6.19721	0	FALSE	0	0	0	0	0	0	0	no_match	-1	-1	0
251	251	A	346	5.47078	7.25066	1455	TRUE	0	1455	7.25066	1455	165	7.336	-0.0023	filtered_out	-1	-1	0
252	252	A	441	139.31042	3.55843	714	FALSE	0	714	3.55843	714	97	5.924	-0.0013	filtered_out	-1	-1	0
253	253	A	59	16.22344	7.84329	1574	FALSE	0	1574	7.84329	1574	80	4.589	-0.0014	filtered_out	-1	-1	0
254	254	A	415	19.92961	4.47842	0	FALSE	0	0	0	0	0	0	0	no_match	-1	-1	0
255	255	A	96	15.09329	4.81208	0	FALSE	0	0	0	0	0	0	0	no_match	-1	-1	0
256	256	A	286	19.54847	4.84529	0	FALSE	0	0	0	0	0	0	0	no_match	-1	-1	0
257	257	A	281	7.40903	3.46348	515	FALSE	0.89475	515	2.56873	515	79	5.321	-0.0035	filtered_out	-1	-1	0
258	258	A	383	11.65969	4.28353	860	FALSE	0	860	4.28353	860	85	5.435	-0.0012	filtered_out	-1	-1	0
259	259	A	202	118.70817	3.58001	0	FALSE	0	0	0	0	0	0	0	no_match	-1	-1	0
260	260	A	28	33.69456	5.76096	1156	FALSE	0	1156	5.76096	1156	150	4.856	-0.0025	filtered_out	-1	-1	0
261	261	A	8	7.666	4.74867	953	FALSE	0	953	4.74867	953	183	5.899	-0.0021	filtered_out	-1	-1	0
262	262	A	105	5.84163	3.09728	0	FALSE	0	0	0	0	0	0	0	no_match	-1	-1	0
263	263	A	435	7.78951	5.18858	1041	FALSE	0	1041	5.18858	1041	195	6.439	-0.0029	filtered_out	-1	-1	0
264	264	A	436	150.99004	3.45916	0	FALSE	0	0	0	0	0	0	0	no_match	-1	-1	0
265	265	A	54	8.95784	5.53785	1112	FALSE	0	1112	5.53785	1112	185	5.49	-0.0017	filtered_out	-1	-1	0
266	266	A	202	7.34894	3.84529	772	TRUE	0	772	3.84529	772	220	7.606	-0.0018	filtered_out	-1	-1	0
267	267	A	154	7.31873	6.99004	1403	TRUE	0	1403	6.99004	1403	449	8.136	-0.0011	filtered_out	-1	-1	0
268	268	A	303	14.26096	10.44954	2098	TRUE	0	2098	10.44954	2098	555	9.325	-0.0015	filtered_out	-1	-1	0
269	269	A	308	45.96282	3.85724	0	FALSE	0	0	0	0	0	0	0	no_match	-1	-1	0
270	270	A	61	5.8247	20.94821	4206	TRUE	0	4206	20.94821	4206	1360	9.253	-0.0015	YHR174W	0.95990181	0.870824039	67.5590744
271	271	A	120	19.97942	5.5996	1124	FALSE	0	1124	5.5996	1124	216	6.959	-0.0016	filtered_out	-1	-1	0
272	272	A	278	141.23174	3.84064	0	FALSE	0	0	0	0	0	0	0	no_match	-1	-1	0
